account_id,customer_age,account_type,account_open_date,current_balance,avg_daily_balance,monthly_transactions,monthly_volume,overdraft_count_3m,credit_score,state,suspicious_activity,account_status
ACC_00000001,33,CD,2024-02-14,78051.98,96449.42,9,54504.4,1,850,MI,0,Closed
ACC_00000002,41,CD,2021-08-19,24778.49,25021.08,7,17834.03,3,720,OH,0,Active
ACC_00000003,50,CD,2024-07-27,31182.77,28955.61,6,14531.04,0,850,IL,0,Active
ACC_00000004,39,Checking,2019-09-02,5708.21,4945.76,19,18258.98,0,850,IL,0,Dormant
ACC_00000005,29,Business Checking,2024-04-23,793581.87,624237.19,32,3345856.78,0,845,GA,0,Active
ACC_00000006,38,Checking,2018-05-05,8493.93,7495.51,30,26389.84,1,704,OH,0,Active
ACC_00000007,29,Checking,2021-09-16,53390.36,63065.6,30,112210.63,0,543,FL,0,Active
ACC_00000008,51,Money Market,2025-07-11,21192.56,20208.06,10,9764.56,1,648,PA,0,Active
ACC_00000009,18,Checking,2019-05-20,4263.63,5015.62,24,11447.66,0,675,NY,0,Active
ACC_00000010,36,Checking,2015-12-04,1293.95,1357.34,26,3210.61,0,638,FL,0,Dormant
ACC_00000011,76,Savings,2018-02-26,6051.44,4873.73,8,3964.09,1,792,GA,0,Active
ACC_00000012,26,Savings,2019-02-27,21281.12,20469.36,10,10414.38,1,624,NY,0,Active
ACC_00000013,43,Savings,2023-12-10,34285.01,39323.69,6,7485.65,1,850,GA,0,Closed
ACC_00000014,18,Money Market,2021-05-29,20251.26,24523.23,14,15711.72,2,782,NY,0,Active
ACC_00000015,52,Checking,2024-06-17,3173.91,3071.7,29,8121.16,0,850,FL,0,Closed
ACC_00000016,59,Savings,2024-11-25,5239.73,4556.79,6,2613.18,1,723,MI,0,Active
ACC_00000017,45,Money Market,2021-02-16,26459.16,22329.73,14,7386.28,1,634,NC,0,Active
ACC_00000018,44,Checking,2017-04-09,3518.9,2908.97,24,5671.69,1,707,CA,0,Active
ACC_00000019,28,Checking,2016-04-02,6697.82,8023.45,26,20781.07,0,608,FL,0,Active
ACC_00000020,35,Checking,2018-08-23,26963.69,19518.38,26,64827.26,1,737,CA,0,Active
ACC_00000021,32,Checking,2021-11-28,3821.92,3249.63,26,8810.02,0,729,NC,0,Active
ACC_00000022,72,CD,2020-04-20,61293.25,50817.56,10,40803.13,0,557,MI,0,Active
ACC_00000023,45,Checking,2015-12-24,17400.65,18534.5,25,47654.65,1,839,GA,0,Active
ACC_00000024,40,Checking,2021-07-29,182.05,233.06,33,664.61,0,671,PA,0,Active
ACC_00000025,18,Checking,2023-02-25,304.09,274.94,33,1210.12,1,719,IL,0,Active
ACC_00000026,29,Money Market,2021-04-11,22758.94,25056.09,11,13775.38,1,731,GA,0,Active
ACC_00000027,44,Savings,2023-02-24,8039.29,9865.24,14,5827.52,0,800,FL,0,Active
ACC_00000028,20,Checking,2025-01-01,7737.14,6741.2,23,16281.79,0,641,IL,0,Active
ACC_00000029,65,Savings,2019-05-23,15907.27,16982.99,9,5414.26,0,840,NC,0,Active
ACC_00000030,42,Checking,2022-10-21,747.09,768.41,15,2840.76,2,633,IL,0,Active
