customer_id,age,income,credit_score,account_age_months,state,risk_profile
CUST_000001,56,65733,624,190,NY,LOW
CUST_000002,69,74471,552,102,FL,LOW
CUST_000003,46,32239,613,139,TX,LOW
CUST_000004,32,37160,611,200,FL,LOW
CUST_000005,60,23102,674,180,OH,LOW
CUST_000006,25,65275,515,1,MI,LOW
CUST_000007,78,50650,717,14,NY,LOW
CUST_000008,38,95856,843,222,NY,LOW
CUST_000009,56,23408,713,213,NC,LOW
CUST_000010,75,30061,777,122,PA,MEDIUM
CUST_000011,36,40770,811,21,OH,MEDIUM
CUST_000012,40,50173,828,34,IL,LOW
CUST_000013,28,32603,850,230,IL,LOW
CUST_000014,28,23470,620,218,FL,LOW
CUST_000015,41,56427,593,105,GA,MEDIUM
CUST_000016,70,52081,774,14,OH,MEDIUM
CUST_000017,53,22968,764,168,MI,LOW
CUST_000018,57,71519,773,122,NY,MEDIUM
CUST_000019,41,65192,850,163,NY,LOW
CUST_000020,20,38837,681,170,PA,LOW
CUST_000021,39,37789,731,82,CA,HIGH
CUST_000022,70,47907,562,148,OH,LOW
CUST_000023,19,23603,850,60,GA,LOW
CUST_000024,41,36864,639,137,MI,MEDIUM
CUST_000025,61,12379,643,233,GA,LOW
CUST_000026,47,56287,638,115,TX,MEDIUM
CUST_000027,55,16634,602,237,OH,LOW
CUST_000028,19,77011,592,33,CA,LOW
CUST_000029,77,30789,617,49,TX,LOW
CUST_000030,38,32668,516,196,PA,LOW
CUST_000031,50,26532,585,4,NC,MEDIUM
CUST_000032,29,31444,850,123,IL,MEDIUM
CUST_000033,75,73811,768,176,IL,LOW
CUST_000034,39,10468,791,16,NC,LOW
CUST_000035,78,68767,821,175,NC,MEDIUM
CUST_000036,61,43002,850,26,PA,MEDIUM
CUST_000037,42,19860,467,70,IL,MEDIUM
CUST_000038,66,21212,532,37,MI,LOW
CUST_000039,44,83968,583,150,NY,LOW
CUST_000040,76,22634,623,234,GA,MEDIUM
CUST_000041,59,20400,643,231,GA,MEDIUM
CUST_000042,45,64129,626,7,OH,LOW
CUST_000043,77,43013,706,170,GA,LOW
CUST_000044,33,22720,684,30,TX,LOW
CUST_000045,32,40469,593,74,TX,MEDIUM
CUST_000046,79,21744,418,121,NY,MEDIUM
CUST_000047,79,62969,560,207,CA,MEDIUM
CUST_000048,64,61739,614,6,TX,LOW
CUST_000049,79,47382,650,24,TX,LOW
CUST_000050,68,43513,544,194,OH,MEDIUM
CUST_000051,61,87605,621,168,MI,LOW
CUST_000052,72,36309,544,121,NC,LOW
CUST_000053,69,20111,664,143,CA,LOW
CUST_000054,74,45466,551,181,GA,MEDIUM
CUST_000055,20,103055,578,85,CA,LOW
CUST_000056,54,21864,522,210,TX,LOW
CUST_000057,68,30311,661,133,FL,LOW
CUST_000058,24,44722,576,89,GA,LOW
CUST_000059,38,35349,788,36,CA,LOW
CUST_000060,26,22222,728,202,NY,LOW
CUST_000061,56,63635,671,174,IL,MEDIUM
CUST_000062,35,115846,584,151,PA,LOW
CUST_000063,21,40057,725,88,IL,LOW
CUST_000064,42,23108,762,45,TX,MEDIUM
CUST_000065,77,16739,697,10,MI,LOW
CUST_000066,31,41315,850,54,OH,LOW
CUST_000067,67,63066,735,70,CA,LOW
CUST_000068,75,46054,789,205,NY,MEDIUM
CUST_000069,26,36271,696,85,NC,MEDIUM
CUST_000070,43,27047,761,32,FL,LOW
CUST_000071,70,21034,584,43,GA,LOW
CUST_000072,19,55125,624,118,NC,MEDIUM
CUST_000073,37,57347,721,121,OH,LOW
CUST_000074,45,16766,721,15,CA,MEDIUM
CUST_000075,64,80412,740,66,IL,LOW
CUST_000076,77,48389,812,143,PA,LOW
CUST_000077,24,73115,509,115,GA,LOW
CUST_000078,61,18563,563,81,MI,LOW
CUST_000079,78,18344,707,20,GA,LOW
CUST_000080,25,33708,593,178,NC,LOW
CUST_000081,64,46694,850,6,NC,LOW
CUST_000082,52,89159,741,79,FL,LOW
CUST_000083,31,51691,670,125,PA,LOW
CUST_000084,34,32165,618,145,TX,LOW
CUST_000085,53,21737,622,120,CA,MEDIUM
CUST_000086,67,67171,683,26,PA,MEDIUM
CUST_000087,57,22418,693,22,CA,LOW
CUST_000088,21,81980,625,201,NC,LOW
CUST_000089,19,31502,647,64,PA,LOW
CUST_000090,79,80441,841,204,CA,LOW
CUST_000091,23,50994,846,214,TX,LOW
CUST_000092,71,33911,710,58,CA,LOW
CUST_000093,59,28009,519,215,NY,MEDIUM
CUST_000094,21,30624,744,37,PA,LOW
CUST_000095,71,44988,850,78,OH,LOW
CUST_000096,46,37743,844,216,CA,MEDIUM
CUST_000097,35,26986,768,200,MI,LOW
CUST_000098,43,33429,850,218,IL,LOW
CUST_000099,61,37770,686,224,PA,LOW
CUST_000100,51,12526,755,121,FL,HIGH
