loan_id,application_date,applicant_age,annual_income,credit_score,employment_years,debt_to_income_ratio,loan_type,loan_amount,loan_term_months,interest_rate,is_approved,is_default,state,purpose,own_home,years_at_address
LOAN_0000001,2024-11-15,56,147870,607,4,0.379,Mortgage,391193.55,180,0.1828,1,0,NC,medical,1,0
LOAN_0000002,2023-12-31,42,41821,729,5,0.209,Personal,40181.06,60,0.1337,0,0,NC,medical,1,0
LOAN_0000003,2024-05-17,51,52890,496,9,0.24,Mortgage,166551.12,240,0.2892,0,0,NC,debt_consolidation,0,6
LOAN_0000004,2025-04-10,23,118868,600,0,0.281,Mortgage,192668.51,300,0.1801,1,0,IL,other,0,25
LOAN_0000005,2023-10-10,37,84315,757,14,0.239,Mortgage,309876.48,180,0.0372,0,0,OH,vacation,0,10
LOAN_0000006,2024-09-15,45,30698,754,2,0.054,Personal,23689.91,24,0.1156,1,0,TX,education,0,2
LOAN_0000007,2024-03-26,22,77355,614,1,0.305,Student,86342.67,180,0.1824,0,0,CA,home_improvement,1,6
LOAN_0000008,2024-12-17,18,55820,698,0,0.32,Mortgage,206019.99,300,0.1067,1,0,OH,other,1,1
LOAN_0000009,2023-10-27,47,150789,724,4,0.035,Auto,52613.15,60,0.0884,1,0,IL,vacation,0,0
LOAN_0000010,2024-09-05,57,56375,769,0,0.153,Personal,6706.15,24,0.1146,1,0,IL,education,1,10
LOAN_0000011,2024-06-21,41,128630,739,16,0.402,Auto,64764.68,48,0.0779,1,0,IL,business,1,3
LOAN_0000012,2025-08-06,30,130302,784,1,0.347,Business,268086.65,84,0.0613,1,0,TX,home_improvement,0,0
LOAN_0000013,2024-05-27,39,54030,654,10,0.635,Auto,65600.88,72,0.1719,1,0,NC,medical,1,0
LOAN_0000014,2024-09-05,48,82381,730,1,0.3,Personal,40112.22,36,0.1486,1,0,MI,medical,0,0
LOAN_0000015,2024-10-22,36,51831,632,15,0.078,Auto,27940.86,48,0.1798,1,0,MI,home_improvement,1,5
LOAN_0000016,2024-07-23,21,43885,850,2,0.065,Personal,6126.95,60,0.03,1,0,NC,business,0,4
LOAN_0000017,2025-03-02,51,23365,741,0,0.224,Personal,6344.3,60,0.1291,0,0,TX,other,1,3
LOAN_0000018,2024-04-08,54,52540,641,2,0.587,Personal,27727.54,48,0.2193,1,0,CA,debt_consolidation,1,17
LOAN_0000019,2024-12-15,44,40821,773,0,0.605,Mortgage,111180.52,360,0.03,0,0,FL,home_improvement,1,0
LOAN_0000020,2025-05-11,32,87211,549,5,0.102,Auto,28570.26,60,0.2589,1,0,NC,other,1,8
LOAN_0000021,2023-09-09,28,61630,744,3,0.597,Auto,73654.65,72,0.0755,1,0,OH,vacation,1,9
LOAN_0000022,2024-07-13,18,110934,608,5,0.479,Personal,12936.58,48,0.2618,0,0,PA,medical,0,2
LOAN_0000023,2024-08-23,18,56477,850,3,0.064,Student,88992.31,120,0.03,1,1,CA,other,1,1
LOAN_0000024,2024-05-10,63,37183,626,13,0.447,Personal,46873.22,60,0.25,0,0,NC,other,0,4
LOAN_0000025,2024-10-08,33,20000,685,4,0.166,Mortgage,99526.06,240,0.1052,1,0,PA,vacation,1,4
LOAN_0000026,2024-07-20,18,22544,596,1,0.243,Auto,72862.23,72,0.199,0,0,CA,vacation,1,4
LOAN_0000027,2024-12-11,65,32128,697,7,0.433,Mortgage,134003.51,360,0.0949,1,0,MI,home_improvement,0,1
LOAN_0000028,2024-11-11,49,49671,781,4,0.12,Business,162319.95,60,0.03,0,0,MI,other,1,2
LOAN_0000029,2024-12-02,21,46460,497,0,0.173,Student,83931.98,180,0.2936,0,0,NC,other,1,3
LOAN_0000030,2024-12-10,46,75281,759,3,0.25,Student,14017.84,180,0.0552,1,0,TX,vacation,1,1
LOAN_0000031,2025-07-11,24,20000,850,8,0.416,Auto,29317.05,36,0.03,1,0,NY,education,0,6
LOAN_0000032,2024-12-23,32,46140,644,6,0.334,Mortgage,147968.18,300,0.1547,1,0,FL,medical,1,3
LOAN_0000033,2024-05-12,57,20000,642,1,0.284,Business,41867.71,84,0.198,0,0,GA,business,1,1
LOAN_0000034,2024-04-02,44,143331,850,1,0.659,Auto,42559.74,60,0.03,1,0,NY,business,0,1
LOAN_0000035,2024-12-11,28,20000,775,16,0.284,Auto,59107.5,48,0.03,0,0,CA,debt_consolidation,1,8
LOAN_0000036,2024-10-24,29,103238,674,5,0.046,Business,217642.15,24,0.1658,1,0,CA,other,0,7
LOAN_0000037,2023-10-01,44,80047,551,9,0.062,Mortgage,335961.56,240,0.2512,1,0,TX,vacation,0,2
LOAN_0000038,2025-01-22,31,40245,453,8,0.295,Mortgage,167571.07,240,0.3418,0,0,MI,other,0,0
LOAN_0000039,2023-10-02,46,28361,639,9,0.352,Personal,42803.92,36,0.2398,1,0,MI,medical,1,3
LOAN_0000040,2025-08-27,57,35224,582,13,0.24,Mortgage,142677.69,180,0.2159,1,0,GA,debt_consolidation,0,0
LOAN_0000041,2023-09-09,53,20000,808,2,0.178,Business,93506.2,24,0.03,1,0,GA,vacation,1,0
LOAN_0000042,2024-01-26,59,64093,843,0,0.197,Personal,13316.06,24,0.0333,1,0,NC,debt_consolidation,1,5
LOAN_0000043,2024-09-03,55,35971,601,6,0.144,Personal,24860.48,60,0.2786,0,0,OH,vacation,0,0
LOAN_0000044,2024-12-29,38,31238,683,2,0.187,Auto,47040.23,60,0.1321,0,0,OH,vacation,1,4
LOAN_0000045,2025-01-27,37,52504,716,0,0.103,Business,206265.54,60,0.1121,1,0,CA,other,1,0
LOAN_0000046,2025-07-18,35,46975,532,0,0.268,Student,59609.63,180,0.2697,0,0,FL,medical,0,0
LOAN_0000047,2025-01-22,52,34160,718,3,0.175,Mortgage,158399.67,180,0.0828,0,0,MI,business,0,12
LOAN_0000048,2024-12-02,18,74337,593,3,0.187,Student,58334.24,240,0.2106,1,1,GA,home_improvement,1,5
LOAN_0000049,2024-11-13,66,112300,628,2,0.203,Student,73799.34,240,0.1716,1,0,GA,vacation,1,0
LOAN_0000050,2025-02-09,41,150985,512,0,0.284,Business,497707.81,60,0.3194,0,0,GA,education,1,6
LOAN_0000051,2024-11-23,33,44679,583,6,0.296,Mortgage,113464.27,180,0.1993,1,0,MI,debt_consolidation,1,3
LOAN_0000052,2024-12-12,34,30746,734,5,0.179,Business,82734.25,48,0.1124,0,0,IL,home_improvement,1,1
LOAN_0000053,2024-11-21,76,37064,620,12,0.126,Business,82957.53,60,0.2058,1,0,NY,home_improvement,1,9
LOAN_0000054,2024-09-06,52,85334,834,1,0.266,Mortgage,318967.58,180,0.03,1,0,PA,debt_consolidation,1,0
LOAN_0000055,2025-05-31,43,57913,736,2,0.22,Mortgage,257618.9,360,0.0347,1,0,OH,medical,0,5
LOAN_0000056,2025-07-31,18,22337,618,7,0.13,Personal,39426.54,24,0.2597,1,0,NC,medical,1,6
LOAN_0000057,2024-05-31,72,87312,707,8,0.133,Business,243817.01,48,0.1054,1,0,IL,debt_consolidation,0,1
LOAN_0000058,2024-08-22,31,40375,693,0,0.353,Mortgage,143702.49,360,0.0897,1,0,FL,medical,1,2
LOAN_0000059,2024-04-01,38,33447,806,2,0.266,Mortgage,109601.58,180,0.03,1,0,TX,home_improvement,0,1
LOAN_0000060,2024-07-23,18,121868,480,3,0.293,Auto,63517.98,36,0.3222,0,0,OH,medical,1,7
LOAN_0000061,2025-06-18,32,122675,683,24,0.102,Mortgage,407553.92,300,0.1008,1,0,TX,business,1,2
LOAN_0000062,2025-03-30,18,20000,733,5,0.223,Student,90522.91,180,0.077,0,0,TX,debt_consolidation,0,17
